id	artist	song	album_name
0eLADSmSccwQegMW	Crown the Empire	Graveyard Souls	The Fallout (Deluxe Reissue)
0eQ9qGzhU6U8qBAh	Mötley Crüe	Bad Boy Boogie	Girls, Girls, Girls
0ea5Bpmf3b40M50R	Fluke	Snapshot	Puppy
0fXNmzKHXFBA01ll	Waylon Jennings	I'm a Ramblin' Man	The Essential Waylon Jennings
0gq3WdITsRAigVMj	Metronomy	Month of Sundays	Love Letters
0grMbVfVNyrQ7wUY	Violent Femmes	I Hear The Rain	Hallowed Ground
0h1DZxZGq5dT1g0I	Frank Sinatra	The World We Knew (Over And Over)	The World We Knew
0h8G1bhVFVP6G9Km	Crystal Castles	Suffocation	(II)
0hKlEmVgAORW1A02	Solar Fake	Such a shame	Frontiers
0hbliV6FyurUdvo8	YESEO	Honey, Don't Kill My Vibe	Damn Rules
0hcO6fu02UtR1iSd	Wintersun	The Forest That Weeps (Summer)	The Forest Seasons
0hhgAPscs36TcQI6	Mount Eerie	I Have Been Told That My Skin Is Exceptionally Smooth	Dawn
0hi5FGoizAXxin1K	Ashanti	Focus	Concrete Rose
0iBn5ZIwJYlSCtBX	Elton John	One Day At A Time	Captain Fantastic And The Brown Dirt Cowboy
0iPuXAAtTUIXMSDs	La Oreja de Van Gogh	La paz de tus ojos	Mas Guapa
0ihMyBXgcgrOCMul	Porcupine Tree	Your Unpleasant Family	Octane Twisted
0irmqbfjWHaiup6x	Josh Garrels	Rise	Love & War & The Sea In Between
0itcRwcX5ZAVrFXa	The World Is a Beautiful Place & I Am No Longer Afraid to Die	Marine Tigers	Always Foreign
0jfEVJ5elKCKz8PO	Nas	Simple Things	NASIR
0jvBHEikm58r2som	I See Stars	Light In The Cave	Treehouse
0kAx1WluUmlF8EYA	Kanye West	Bound 2	Yeezus
0kFhN9KUu2eVeiqw	Oceans Ate Alaska	Over the Edge	Lost Isles
0kSdTqYxL1L8fe9n	Hugh Mundell	My Mind	Africa Must Be Free By 1983
0kn9NnwOhXcg2bNT	The Pretty Reckless	Light Me Up	Light Me Up
0lHR1KA8BW1Jmf9D	Bullet for My Valentine	The Poison	The Poison
0mdmLBCg5qRqO9kw	Lady Gaga	Diamond Heart	Joanne (Deluxe)
0msRtMDKZpd0neIK	Varry Brava	No gires	No Gires
0mwlDzSl5gaOYcfD	The Congos	La La Bam-bam	Total Reggae: Classic Roots
0nLACKoW1LXT5r3l	Blouse	Firestarter	Blouse
0novBfJngoToX8QJ	Ministry	Dream Song	The Mind Is A Terrible Thing To Taste
0nroJEydVX4uCwDo	The Get Up Kids	Holiday	Something to Write Home About
0nwyK0P4QLADxbSz	Cradle of Filth	English Fire	Nymphetamine Special Edition
0o1t8pmtIQGVNoRX	Sheryl Crow	Long Way Back	Be Myself
0oMHpUM3xKQ5rHQq	Primal Scream	Higher Than the Sun (A Dub Symphony in Two Parts)	Screamadelica
0ou8VbSYp9yIzeQh	mewithoutYou	A Glass Can Only Spill What It Contains	Brother, Sister
0pKdVXwboxWtasKV	Laura Pausini	Bellissimo così	Primavera in anticipo
0q1KVg7Jx9fwtVMQ	Sandy e Junior	Replay	Sandy & Junior 2006
0qFSe9FCLIY5dcdL	Mandy Moore	Nothing That You Are	Wild Hope
0qJbxD3hsFTAtT2H	Diamond Rio	Beautiful Mess	Greatest Hits II
0qp2KyXH2ustSNci	Naughty By Nature	O.P.P	Naughty By Nature
0r6fQYlWtk4HkN1F	Annie Lennox	Train in Vain	Medusa
0rglHs2VvXylYUjI	Twin Shadow	When We're Dancing	Forget
0rmouv9XbAHY2XBZ	The Brian Jonestown Massacre	Nevertheless	Bravery Repetition & Noise
0roDBBFUmgkbD7Zg	Arctic Monkeys	Reckless Serenade	Suck It and See
0rplhtI8mUMSa59h	Glen Hansard	You Will Become	Rhythm And Repose (Deluxe Edition)
0sgehyyNEKd2ar50	Yelle	La Musique	Safari Disco Club
0swSt84vjuuHE3qZ	OneRepublic	Something I Need	Native
0t0o0WxzpYbzReYl	The Dillinger Escape Plan	Baby's First Coffin	Miss Machine
0tGyfM8g4zni2Fpw	Stevie Nicks	Kind of Woman	Bella Donna (Remastered)
0tQW05lczfbYpBtL	Jonas Brothers	Sucker	Sucker
0tYzcqyF8P0wgFFv	Scissor Sisters	San Luis Obispo	Magic Hour (Deluxe)
0tbwoDIA62N3G9Sh	Amy Winehouse	Take the Box	Frank
0tzYEg8KodbJHl8p	Pink Floyd	Fat Old Sun	Atom Heart Mother
0uGDI02BHiiupFg4	Veil of Maya	Citadel	False Idol
0vNPu4tRVc6R5HyN	St. Vincent	Prince Johnny	St. Vincent (Deluxe Edition)
0vTCI3MyJ8ySMrWj	Marilyn Manson	You And Me And The Devil Makes 3	EAT ME, DRINK ME
0wuI3sWE1sY7j72q	Florrie	Left Too Late	Introduction
0xCI5sqw92OJBREC	Bring Me the Horizon	Blessed With a Curse	There Is A Hell Believe Me I've Seen It. There Is A Heaven Let's Keep It A Secret
0xR4sDExAevvbuC1	Leonard Cohen	Suzanne	Songs Of Leonard Cohen
0xieNpJEtHyOpypj	Pearl Jam	Sirens	Lightning Bolt
0xuwaq1bHoW7IaY1	Camp Cope	UFO Lighter	How to Socialise & Make Friends
0zDvzvoykqNJ2FOy	Eyshila	Terremoto	Terremoto
0zhmog3KHJTjp2BX	Alicia Keys	New Day	Girl On Fire
0zmrxUHKXRslsrVe	Sonic Youth	Star Power	Star Power (2009; Acoustic)
0zoJxZanHfdvKNJ9	Evergrey	Currents	The Atlantic
0zobE4Ol8CjDPBKG	Ride	Twisterella	Going Blank Again (Expanded)
0zojNJCp12ghZn9s	The Sword	To Take the Black	Gods Of The Earth
10606KXnvNhqJKCl	Grateful Dead	Black Peter	Workingman's Dead
109IXnS5xSfF7I3I	Fleetwood Mac	Never Going Back Again	Rumours (Super Deluxe)
10E4iAVRq4bJcMBe	Imagine Dragons	Who We Are	Smoke + Mirrors (Deluxe)
10anNU8fj6HgxNRO	The Prodigy	More Girls	Girls
10dI21F9LjekP7CP	Paul McCartney	Early Days	NEW (Deluxe Edition)
122YR0dLpuw1XTjl	Hyoyeon	Mystery	Mystery
12JddYJLbEIcwfUa	Týr	By the Sword in my Hand	By the Light of the Northern Star
12OPaZ5O3qlPLbh0	Tricky	Makes Me Wanna Die	Pre Millennium Tension
12VAK5VxR2HLDOe1	The Clash	London's Burning	The Clash
13hQ6n8ttb5TcX9v	Esben and the Witch	Iceland Spar	Wash the Sins Not Only the Face
1424LaVTdRfu6RZc	Jinjer	Sit Stay Roll Over	King Of Everything
14m0g1fq7yNRpcMQ	Owl City	I'm Coming After You	The Midsummer Station
14tPVH5PvwXXbUG2	The Jackson 5	One More Chance	ABC
1515q5AMPJw0tgBR	Tyler, the Creator	Wolf	Wolf
159TkX0wFyWdjhSF	The Byrds	Draft Morning	The Notorious Byrd Brothers
15CxeKsD9DvqCVhY	The Beatles	In My Life	Rubber Soul (Remastered)
15IMBIdwhKut5kF5	Yelle	Les Femmes	Pop Up
15IkVxmtBqsnmRND	Alizée	Blonde	Blonde
15Zipf9NzLs5CoFL	Slayer	Spiritual Law	Undisputed Attitude
15blZOCUg63HosU3	David Bowie	Cactus	Heathen
15hcBfdPhrtLVay2	BTS	DNA	Love Yourself 承 'Her'
15oQvCP96HHSz0XJ	Stick to Your Guns	The Better Days Before Me	True View
15tLvTjDxU197oBT	Norah Jones	Above Ground	Feels Like Home
16RyPaV6dHRot8sb	Arcade Fire	Keep the Car Running	Neon Bible
16jxfd07xBklQSCr	Scorpions	Follow Your Heart	Born To Touch Your Feelings - Best of Rock Ballads
16pOUJTRbQFVz7pW	The Zombies	A Rose for Emily	Odessey And Oracle
16yg4fdhkg2BpR6T	Crosby, Stills & Nash	Guinnevere	United Nations General Assembly Hall WXRK NYC. November 18 1989 (Live)
17ClbpCgdV9aAuTd	Björk	Human Behavior	Greatest Hits
17ygDyIypVaJ0Y7M	Korpiklaani	Wooden Pints	Spirit Of The Forest
18PbynlwRCA2qQ6D	Spoon	The Way We Get By	Kill the Moonlight
19qh48VRL4dKYaq7	FKJ	Go Back Home	Go Back Home
1AHNRZXK29iCRL5v	Clap Your Hands Say Yeah	Heavy Metal	Clap Your Hands Say Yeah
1AUZEne1B6g06WSK	Beach Fossils	Shallow	Clash the Truth
1Ak7bwA8Y9SkF24o	Bolt Thrower	This Time It's War	The IVth Crusade (Full Dynamic Range Edition)
1B9I6kH06ipCGfMw	Papa Roach	Give Me Back My Life	The Connection
1BTGGLZkHXG7m2I5	Neko Case	At Last	Fox Confessor Brings The Flood (Bonus Track Version)
1BbfePCdMM4SajKy	Pixies	The Happening	Bossanova
1BxOomemaljnipHN	Aimee Mann	Today's the Day	Lost In Space
1CCSNgcHsP1fqhiE	Counting Crows	Perfect Blue Buildings	August And Everything After
1D1TsRmNu7OYSnlG	KMD	Peachfuzz	Mr. Hood
1DTFDQntLWTKMLgm	She & Him	I'm Gonna Make It Better	Volume Two
1E6MXlttdZNfv5vr	Justin Bieber	As Long as You Love Me	Believe (Deluxe Edition)
1EfM3qWPlpQsKnty	Céline Dion	Super Love	A New Day Has Come
1En5gzdgbSFWrbHA	36 Crazyfists	The Heart And The Shape	A Snow Capped Romance
1FHsbrJnBPPP0g0k	Oliver Tree	Cheapskate	Cheapskate
1FlqCWlOLqMfibbg	Jawbreaker	Oyster	Dear You
1GX3zPl6DaMjCoYx	Ingrid Michaelson	Soldier	Everybody
1GngSVshm9HPaMVa	The Beatles	Penny Lane	Magical Mystery Tour (Remastered)
1GxSKmrbSnZvDIJO	Being As An Ocean	Blacktop	Waiting for Morning to Come
1H7yQe1NljCbMapi	UFO	Doctor Doctor - 2007 Remaster	Phenomenon (2007 Remaster)
1HJwHtefKWOKO7Fo	Gloria Gaynor	I Will Survive	20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor
1HNbB2jYOPVyrBwZ	Tori Amos	Climb	Native Invader
1HmXKsTebNB1Uz4u	Diana Ross	The Boss	The Boss
1IBHNIcbKXId8a0X	Galaxie 500	Tugboat	Today
1IPmO9HuMPFb7pBs	Yo La Tengo	Stockholm Syndrome	I Can Hear The Heart Beating As One
1IVJoqcfyL51u825	Nina Simone	Real Real	Nina Simone Sings The Blues
1JBRUGXmNguWzBbV	Papa Roach	Born for Greatness	Crooked Teeth (Deluxe)
1JFk1KCd5RcO71wq	Cut Copy	Strange Nostalgia for the Future	Zonoscope
1Ja8XIAKcty45QCs	Oliver Tree	Alien Boy	Alien Boy EP
1JdR8MUN8KuSqrym	Greta Van Fleet	Safari Song	From The Fires
1Jp0SeFFOQ4i6y3R	Mary J. Blige	Hurt Again	Growing Pains
1JqyrPMpUssfwQFA	Phil Collins	Don't Let Him Steal Your Heart Away	Hello, I Must Be Going! (Deluxe Edition)
1JsRL3O4FexW31yz	Little Boots	Headphones	Headphones
1KVEmhUJX1XE4wPG	Children of Bodom	Angels Don't Kill	Hate Crew Deathroll (US Editiion)
1KYWPzVvo2COw53Y	Echosmith	Future Me	Future Me
1L5YgJUNjt0kE3rf	Grant Miller	Colder Than Ice	Best Of - The Maxi-Singles Hit Collection
1LCgMXuP3QccCBZZ	De Staat	Build That, Buy That	I_CON
1LIU230Djug8BC9l	Cher	Red	Closer To The Truth (Deluxe Version)
1LKpiCtzYEUNlrno	Patti Smith	Ghost Dance	Easter
1LT0r4NH6Fnd3PmQ	Converge	I Can Tell You About Pain	The Dusk In Us
1LVCIU4fWhE8ms3W	Imogen Heap	Headlock	Speak for Yourself
1LjTMISqz0MVmUt5	Active Child	Playing House	You Are All I See
1Mkmb5wq3MT9KIvl	Belle and Sebastian	Suicide Girl	The Third Eye Centre
1Ms0rf2jUwBxuECj	Paris Hilton	Jealousy	Paris
1Mzdkzp94lWU1VP8	Dulce Pontes	O Infante	Momentos
1NVjGZV6nHuWO7tP	Culture Beat	Mr. Vain Recall - Radio Edit	Mr. Vain Recall
1NbQrEAwwvXGqD2n	Pink Turns Blue	After All	If Two Worlds Kiss
1NieMcqg84jGXKsG	Nirvana	I Hate Myself and Want to Die	In Utero - 20th Anniversary - Deluxe Edition
1NmthD0bJAk8r1ZC	Novos Baianos	Curto De Véu E Grinalda	O Melhor Dos Primeiros Anos
1NqEMzdMVUt7GvP3	Death Cab for Cutie	Title and Registration	Transatlanticism (10th Anniversary Edition)
1OAeEHzoQXvoQOOz	Meghan Trainor	Dear Future Husband	Title (Deluxe)
1PMNW9sRMoFJVfU3	Magic!	Let Your Hair Down	Don't Kill the Magic
1PYQMBk8LERTncVr	Emma Bunton	Baby Please Don't Stop	My Happy Place
1Pfvty4majWz07HO	One Way	Cutie Pie	Cutie Pie
1Pq5l70rW64QOPAb	Big Star	Don't Lie To Me	#1 Record
1QFLmBdd5L6j9GDO	Insomnium	Black Waters	In The Halls Of Awaiting
1QQlmxo1sN75uIaW	Aspidistrafly	Landscape with a fairy	A Little Fable
1QvEYR38ignsKr7b	The Modern Lovers	Old World	The Modern Lovers
1Rehvis6TPbGd7Je	Curtis Mayfield	Here But I'm Gone	New World Order
1Ro6zcwKhJC8ISwi	Reykon	Mala	Mala
1SqCkDKfyGy3rP7A	SummerWish	1000%	PRODUCE 48 - 30 Girls 6 Concepts
1SxZLIiC4YM6zzO7	Los Hermanos	Condicional	4
1TBoK8eQ9EG9TULK	Amorphis	Narrow Path	Circle (Bonus Version)
1TKUB7W3vmrtq7Ak	Alex Turner	Stuck on the Puzzle	Submarine - Original Songs From The Film By Alex Turner
1TS4R0pFX2s96CJZ	Daughtry	Crawling Back to You	It's Not Over....The Hits So Far
1TTaCU6DaHQ0nE3m	Hüsker Dü	What's Going On	Zen Arcade
1Tb1bInuc9BjLMer	The Amity Affliction	All Fucked Up	This Could Be Heartbreak
1TdDpmXA1QWe0F1T	Green Day	St. Jimmy	American Idiot (Deluxe)
1UF8e5PqXKb5srFA	Nico Santos	Rooftop	Streets Of Gold
1VGASJntDh6QN0sA	Pond	The Boys Are Killing Me	Tasmania
1VJwbsBxGZRCKKFi	Jorge Ben	Domenica Domingava Num Domingo Linda Toda De Branco	Força Bruta (1970)
1VmrtuLuf12BczLS	My Darkest Days	Perfect	Sick And Twisted Affair (Deluxe Edition)
1VtWYqp59eTfRKXY	The Cure	Inbetween Days	Sing Street (Original Motion Picture Soundtrack)
1VwzfIAOtzQhVw6C	Gnarls Barkley	Go-Go Gadget Gospel	St. Elsewhere
1WlRq8rW40gTSwKO	Manic Street Preachers	Send Away The Tigers	Send Away The Tigers
1X00fAREh70517ij	Running Wild	Bad to the Bone	Death or Glory
1X4o7EXEj1waNaWF	10,000 Maniacs	More Than This	Love Among The Ruins
1XAwfc2P5qzSe9SF	Northlane	Heartmachine	Mesmer
1XNyC8LxGy3ocYXv	Allison	Aquí	Allison (Edición Especial)
1XWVVvhUWhjBTVBH	Chico Buarque	Sinhá	Chico
1XZP3bEawLbWfSkM	The Strokes	Someday	Is This It
1YOagKsFqTS8BDK2	Zara Larsson	I Would Like	So Good
1YUiDKKSD7GIcXyx	Forfun	Cósmica	Polisenso
1Z5P3BjuKWzGDzoo	Joe Goddard	Truth Is Light	Electric Lines (Bonus Edition)
1ZDsU0PeILHkAwB2	Enter Shikari	Ok, Time For Plan B	Sorry You're Not A Winner / OK! Time for Plan B
1ZZlkrj4Jkup6t7Q	Laura Branigan	How Am I Supposed to Live Without You	The Best Of Branigan
1ZeCGHTPg7eDDnDk	FKA twigs	Two Weeks	LP1
1ZrKQGu3hv9DlPNw	Anastacia	I Can Feel You	Heavy Rotation
1aOy9pzOsJ8AjKAb	La Oreja de Van Gogh	El último vals	A las Cinco en el Astoria
1aW5Ixb9QfIBdvSm	Tori Amos	Flavor	Gold Dust
1bDlj3qS3HiW5RXE	Memory Tapes	Swimming Field	Seek Magic
1bVzOa0F6X5QwuBj	Céline Dion	Regarde-moi	The French Album
1cKGmPvdSdGq8jg9	Pixie Lott	Kiss the Stars	Young Foolish Happy (Deluxe Edition)
1cUUnlwxUH9rXdBd	Dance Gavin Dance	The Rattler	Artificial Selection
1cyfUPFQk1JSdRRw	The Mountain Goats	The Grey King and the Silver Flame Attunement	Goths (Deluxe Version)
1d0rrZRbKBwrZZgz	Daughtry	Home	Daughtry (Deluxe Edition)
1dRg09BK9AaMKXDp	Outlander	Vamp	Vamp
1desuKPRoCCWc5xZ	Funkadelic	I'll Stay	Standing On The Verge Of Getting It On
1eWUxY3hOm6M3Szp	Emigrate	New York City	Emigrate
1f13MAfipcAOI0Ju	Super Junior	Scene Stealer	PLAY - The 8th Album
1fDah5r1pTHBacmr	As It Is	Austen	okay.
1fV600W83BiFAQ1G	Oskar Linnros	Debut	Vilja Bli
1fawLHtXMYdojJyy	Barbra Streisand	I Don't Care Much	The Second Barbra Streisand Album
1fmfftKuLUstbtui	Iron Maiden	When the Wild Wind Blows	The Final Frontier (2015 - Remaster)
1fxrjFD1OGLjli8x	Death in June	Nothing Changes	The Guilty Have No Pride
1gGCHiKSl6C1BHMA	YOB	Original Face	Our Raw Heart
1gbld8XcMm2kb75U	Fit for a King	Tower of Pain	Dark Skies
1gdgQLMaOVxRYj3e	Bodyjar	Not the Same	How It Works
1igMFcoVZ7NmcTRl	Faith No More	Last Cup of Sorrow	Album of the Year
1jGJykqHcf51qsbE	The Stranglers	Strange Little Girl	La Folie
1jGTlM1C9DAdISn3	Kid Cudi	Troubled Boy	KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon
1jXIlUYO0G6wjYvL	Boris	Heavy Rain	Gensho
1kVUK25G6CXtoSew	Roo Panes	Once	Little Giant
1lCMmYgppb2NUsL8	The Dodos	Undeclared	Visiter
1lhDOBoSftrYQJ1Y	Simple Creatures	Drug	Strange Love
1ltAp8lN1prwUs6s	The Gap Band	Burn Rubber On Me (Why You Wanna Hurt Me)	Greatest Hits
1mPpPt4RxMkZrSBT	The Postal Service	Sleeping In	Give Up (Deluxe 10th Anniversary Edition)
1nAyrlJRxUadsEl8	John Mayer	St. Patrick's Day	Room For Squares
1nCOl2HmKRBFKmtC	Mew	Candy Pieces All Smeared Out	Visuals
1nRabL64grHHA5gS	Árbol	El Fantasma	GUAU!
1nUpyNdCl3vnd5HN	Siouxsie and the Banshees	Arabian Knights	Juju
